time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque
158,178,89,120,1030.92,7.07,11,19
159,177,89,120,1037.24,7.053,11,19
160,179,90,120,1044.85,7.069,10,19
161,182,90,120,1051.95,7.127,10,19
162,182,90,120,1059.05,7.153,10,19
163,181,90,120,1064.57,7.15,10,19
164,176,89,120,1072.94,7.096,10,19
165,173,89,120,1079.7,7.06,10,19
166,174,88,121,1085.3,7.053,10,19
167,179,90,120,1093.47,7.074,10,19
168,180,89,120,1098.7,7.088,10,19
169,179,89,120,1106.48,7.045,10,19
170,177,89,120,1111.56,7.03,10,19
171,179,90,120,1117.39,7.083,10,19
172,183,89,119,1127.8,7.099,10,20
173,181,90,119,1133.39,7.101,10,19
174,179,89,119,1139.18,7.114,10,19
175,178,88,119,1145.17,7.112,10,19
176,177,89,120,1154.88,7.054,10,19
177,176,89,120,1161.31,7.051,10,19
178,179,89,121,1168.14,7.075,10,19
179,181,90,121,1175.89,7.1,10,19
180,181,90,121,1182.33,7.132,10,19
181,179,89,120,1190.64,7.104,10,19
182,177,89,120,1196.71,7.055,10,19
183,176,90,119,1203.12,7.057,10,19
184,176,88,119,1211.1,7.061,10,19
185,178,88,119,1218.05,7.044,10,19
186,180,88,119,1224.14,7.002,10,20
187,177,89,119,1228.62,7.026,10,19
188,179,90,119,1237.98,7.077,10,19
189,183,89,119,1243.48,7.122,10,20
190,182,90,120,1251.62,7.136,10,19
191,180,91,120,1258.21,7.184,10,19
192,179,91,119,1264.46,7.211,10,19
193,178,90,119,1268.75,7.213,10,19
194,176,91,119,1276.81,7.192,10,18
195,175,90,119,1283.31,7.151,10,19
196,175,90,119,1291.38,7.126,10,19
197,175,89,120,1300.71,7.127,10,19
198,178,90,120,1306.39,7.15,10,19
199,180,90,120,1314.78,7.174,10,19
200,180,90,120,1320.95,7.188,10,19
201,180,90,120,1327.41,7.174,10,19
202,177,90,120,1335.59,7.101,10,19
203,174,91,120,1342.11,7.125,10,18
204,181,91,120,1348.83,7.201,10,19
205,183,92,120,1356.82,7.25,10,19
206,183,92,120,1363.47,7.263,10,19
207,183,92,120,1369.15,7.26,10,19
208,183,92,120,1376.66,7.238,10,19
209,177,90,121,1383.48,7.233,10,19
210,176,91,121,1389.44,7.199,10,18
211,176,91,122,1398.87,7.185,10,18
212,177,92,122,1404.98,7.201,10,18
213,182,91,123,1410.01,7.238,10,19
214,181,91,123,1418.81,7.238,10,19
215,178,91,123,1424.73,7.222,10,19
216,176,91,122,1432.47,7.212,10,18
217,176,91,122,1440.85,7.18,10,18
218,177,91,122,1447.23,7.222,10,19
219,180,90,121,1454.1,7.238,10,19
220,179,92,120,1461.08,7.227,10,19
221,177,91,119,1467.06,7.213,10,19
222,176,90,119,1476.16,7.177,10,19
223,176,90,118,1480.89,7.137,10,19
224,176,89,118,1488.96,7.129,10,19
225,178,90,118,1497.16,7.129,10,19
226,179,91,118,1501.77,7.145,10,19
227,181,90,118,1509.17,7.184,10,19
228,181,91,119,1516.56,7.18,10,19
229,178,90,119,1524.41,7.147,10,19
230,175,91,119,1529.25,7.105,10,18
231,176,91,120,1537.64,7.168,10,18
232,183,90,119,1546.03,7.211,10,19
233,182,90,119,1550.34,7.188,10,19
234,178,89,119,1555.72,7.143,10,19
235,173,89,119,1566.52,7.088,10,19
236,173,89,119,1572.81,7.054,10,19
237,175,89,119,1579.68,7.036,10,19
238,178,88,119,1586.57,7.052,10,19
239,183,88,119,1591.04,7.053,10,20
240,180,88,118,1597.78,7.045,10,20
241,177,87,118,1605.55,7.009,10,19
242,176,89,118,1613.35,6.981,10,19
243,177,88,118,1621.28,7.005,10,19
244,181,89,118,1627.02,7.017,10,19
245,181,90,119,1634.37,7.046,10,19
246,181,90,119,1641.1,7.121,10,19
247,184,90,119,1647.01,7.15,10,20
248,180,91,120,1653.32,7.145,10,19
249,176,89,120,1663.52,7.13,10,19
250,176,90,121,1667.61,7.117,10,19
251,176,91,121,1673.75,7.136,10,18
252,179,90,121,1680.64,7.169,10,19
253,179,90,121,1689.75,7.134,10,19
254,176,92,121,1694.93,7.148,10,18
255,179,91,121,1702.15,7.195,10,19
256,182,90,121,1709.87,7.213,10,19
257,178,91,121,1714.49,7.21,10,19
258,175,91,121,1724.77,7.213,10,18
259,175,91,121,1731.18,7.221,10,18
260,178,91,121,1736.73,7.238,10,19
261,178,91,121,1745.8,7.238,10,19
262,179,91,121,1752.5,7.238,10,19
263,178,91,122,1758.95,7.232,10,19
264,176,92,122,1767.12,7.192,10,18
265,175,92,122,1771.49,7.188,10,18
266,176,91,122,1779.83,7.161,10,18
267,177,90,122,1785.93,7.178,10,19
268,180,90,121,1794.17,7.189,10,19
269,182,91,121,1799.6,7.224,10,19
270,181,91,121,1807.91,7.238,10,19
271,179,91,121,1813.86,7.222,10,19
272,177,90,121,1823.53,7.166,10,19
273,175,91,121,1827.52,7.182,10,18
274,177,91,121,1835.66,7.213,10,19
275,180,92,121,1844.54,7.238,10,19
276,180,91,122,1850.69,7.239,10,19
277,180,91,122,1856.42,7.263,10,19
278,179,90,122,1861.57,7.247,10,19
279,177,91,122,1871.86,7.197,10,19
280,176,90,122,1878.0,7.213,10,19
281,178,91,122,1884.56,7.213,10,19
282,179,90,123,1892.96,7.178,10,19
283,177,90,123,1900.71,7.121,10,19
284,175,91,123,1907.27,7.111,10,18
285,178,91,123,1913.98,7.166,10,19
286,184,90,122,1920.51,7.209,10,20
287,183,90,122,1926.62,7.203,10,19
288,179,90,122,1935.01,7.157,10,19
289,177,90,122,1939.43,7.15,10,19
290,178,90,122,1945.52,7.188,10,19
291,180,91,122,1953.95,7.212,10,19
292,180,91,122,1962.33,7.229,10,19
293,179,91,122,1969.95,7.229,10,19
294,177,92,123,1974.87,7.213,10,18
295,177,91,123,1983.36,7.214,10,19
296,179,91,123,1989.01,7.238,10,19
297,179,91,123,1994.56,7.238,10,19
298,178,91,124,2003.03,7.238,10,19
299,177,91,124,2012.41,7.213,10,19
300,177,91,124,2017.02,7.218,10,19
301,178,92,124,2025.42,7.238,10,18
302,180,91,125,2033.76,7.263,10,19
303,180,91,125,2038.64,7.263,10,19
304,178,91,125,2047.07,7.248,10,19
305,174,89,125,2054.13,7.171,10,19
306,172,88,125,2060.15,6.812,10,19
307,152,88,125,2062.64,5.302,10,16
308,94,76,125,2065.05,3.462,10,12
309,35,48,125,2065.86,2.293,10,7
310,8,21,125,2065.86,1.376,10,4
311,0,0,124,2065.86,0.459,10,0
312,0,0,123,2065.86,0.0,10,0
313,0,0,123,2065.86,0.0,10,0
314,0,0,122,2065.86,0.0,10,0
315,0,0,122,2065.86,0.0,10,0
316,0,0,122,2065.86,0.0,10,0
317,0,0,122,2065.86,0.0,10,0
318,0,0,122,2065.86,0.0,10,0
319,0,0,123,2065.86,0.0,10,0
320,0,0,123,2065.86,0.0,10,0
321,0,0,123,2065.86,0.0,10,0
322,0,0,123,2065.86,0.0,10,0
323,6,33,122,2068.24,1.663,10,2
324,55,57,121,2071.3,2.98,10,9
325,188,71,119,2076.46,4.405,10,25
326,284,83,118,2080.04,5.569,10,33
327,275,89,118,2091.03,7.345,10,30
328,224,90,118,2096.61,7.484,10,24
329,176,91,118,2104.51,7.38,10,18
330,159,92,118,2113.4,7.188,10,17
331,162,91,118,2121.78,7.179,10,17
332,172,91,119,2128.09,7.18,10,18
333,176,90,119,2135.03,7.213,10,19
334,174,90,120,2142.2,7.144,10,18
335,172,91,119,2148.99,7.127,10,18
336,171,90,119,2157.23,7.159,10,18
337,177,90,119,2162.23,7.188,10,19
338,178,90,118,2170.15,7.154,10,19
339,176,90,118,2178.54,7.153,10,19
340,175,90,117,2182.35,7.137,10,19
341,175,89,116,2187.4,7.131,10,19
342,175,92,115,2199.56,7.162,10,18
343,178,91,115,2205.68,7.24,10,19
344,181,91,115,2212.19,7.263,10,19
345,180,91,115,2219.27,7.263,10,19
346,175,92,116,2227.03,7.269,10,18
347,176,92,116,2232.34,7.287,10,18
348,181,92,116,2241.18,7.347,10,19
349,181,92,116,2247.92,7.344,10,19
350,177,91,116,2254.93,7.3,10,19
351,174,91,116,2262.53,7.263,10,18
352,174,92,116,2268.77,7.263,10,18
353,177,92,116,2275.15,7.267,10,18
354,180,93,117,2281.58,7.336,10,18
355,182,92,117,2289.96,7.353,10,19
356,180,94,117,2298.35,7.349,10,18
357,178,93,117,2304.67,7.368,10,18
358,179,93,118,2311.92,7.377,10,18
359,178,92,119,2317.13,7.366,10,18
360,176,91,119,2323.33,7.285,10,18
361,174,92,119,2331.07,7.249,10,18
362,175,91,119,2338.47,7.238,10,18
363,179,92,120,2345.55,7.277,10,19
364,182,94,120,2354.8,7.331,10,18
365,183,93,120,2361.73,7.374,10,19
366,182,92,120,2367.84,7.38,10,19
367,178,92,120,2371.3,7.359,10,18
368,175,92,120,2382.37,7.323,10,18
369,176,92,121,2390.83,7.307,10,18
370,177,93,121,2397.12,7.289,10,18
371,178,92,121,2404.59,7.325,10,18
372,180,92,121,2411.75,7.288,10,19
373,178,92,121,2417.3,7.263,10,18
374,176,92,121,2424.5,7.289,10,18
375,178,93,121,2432.83,7.326,10,18
376,180,93,121,2439.64,7.347,10,18
377,181,94,121,2445.39,7.384,10,18
378,181,93,121,2452.41,7.404,10,19
379,185,92,121,2461.93,7.345,10,19
380,197,93,121,2466.42,7.321,10,20
